word|reading|jlpt_level|jlpt_level_raw|tags
ぐしゃぐしゃ|ぐしゃぐしゃ||NA19|adj-na adv adv-to vs
物知り|ものしり||NA20|n
もじゃもじゃ|もじゃもじゃ||NA10|adv vs adj-na adj-no
有らずもがな|あらずもがな||NA10|exp adj-no
噎せる|むせる||NA12|v1 vi
酔いしれる|よいしれる||NA13|v1 vi
決まる|きまる|N5|N5|v5r vi
台無し|だいなし|N1|N1|adj-na n
痛む|いたむ|N1|N1|v5m vi
浅い|あさい|N4|N4|adj-i
腕が無い|うでがない||NA7|exp adj-i
困る|こまる|N5|N5|v5r vi
叶う|かなう|N5|N5|v5u
腕が良い|うでがよい|N1|N1|exp adj-ix
弱い|よわい|N5|N5|adj-i
どきり|どきり|N1|N1|adv adv-to vs n
ややこしい|ややこしい|N1|N1|adj-i
飲み込む|のみこむ|N1|N1|v5m vt
水田|すいでん|N1|N1|n
恐れ入る|おそれいる|N1|N1|v5r vi
迷う|まよう|N2|N2|v5u vi
落ち着く|おちつく|N2|N2|v5k vi
絶世|ぜっせい||NA18|adj-no n
詳解|しょうかい||NA15|n vs vt
橇|そり||NA15|n
ぎょっと|ぎょっと||NA10|adv vs
一通り|ひととおり|N2|N2|n adj-no adv
剣|けん|N1|N1|n
二輪車|にりんしゃ||NA19|n
持てる|もてる|N4|N4|v1 vi adj-f
巻き寿司|まきずし||NA17|n
ＬＥＤ|エル・イー・ディー||NUNCLASSIFIED|n
生兵法|なまびょうほう||NA14|n
落着|らくちゃく||NA5|n vs vi
あちこち|あちこち|N3|N3|pn adv vs vi adj-na n
宣誓|せんせい||NA5|n vs vt
肉汁|にくじゅう||NA16|n
礼状|れいじょう||NA18|n
眉唾|まゆつば||NA12|n
まとまる|まとまる|N3|N3|v5r vi
定評|ていひょう||NA2|n
在学|ざいがく|N3|N3|n vs vi
縮れる|ちぢれる|N3|N3|v1 vi
承知|しょうち|N3|N3|n vs vt
人知|じんち||NA13|n
神楽笛|かぐらぶえ||NA16|n
ぐらつく|ぐらつく||NA15|v5k vi
偏差値|へんさち||NA8|n
甘える|あまえる|N1|N1|v1 vi
精緻|せいち||NA19|adj-na n
着火|ちゃっか||NA1|n vs vt vi
悩む|なやむ||NA6|v5m vi
未遂|みすい||NA10|n n-suf adj-no
勝手|かって|N1|N1|n adj-na n-pref
わくわく|わくわく|N1|N1|vs adv adv-to
告白|こくはく|N2|N2|n vs vt vi
